Adversary,Level,Skills,Talents,Abilities,Equipment,Index
Deep Dark Scout Trooper,Minion,Athletics; Discipline; Melee; Ranged [Heavy]; Ranged [Light]; Vigilance,None,None,Extra Reload; Frag Grenade; Heavy Blaster Rifle; Light Blaster Pistol; Scout Trooper Armor; Utility Belt,BtR:70
Defel Assassin,Nemesis,Brawl 3; Cool 2; Coordination 2; Melee 3; Ranged [Light] 2; Stealth 3; Vigilance 2,Adversary 3; Deadly Accuracy None; Lethal Blows 2,Light Sensitive; Shadowed,Blaster Pistol,E-CRB:392
Detention Center Guard,Minion,Coercion; Discipline; Melee; Ranged [Light]; Vigilance,None,None,Blaster Pistol; Guard uniform and helmet; Stun Baton,RaGP:39
Detention Center Officer,Rival,Discipline 3; Ranged [Light] 2; Vigilance 2,Adversary 1,Overwhelming Fire; Tactical Direction,Blaster Pistol; Code cylinder; Comlink (handheld); Imperial ID; Officer Uniform,RaGP:39
Detention Center Staff,Minion,Computers; Mechanics; Perception,None,None,Datapad; Detention center uniform; Imperial ID,RaGP:39
Devlikk,Minion,Coordination; Perception; Piloting [Planetary],None,Magnetic Sense,Goggles; Utility Kit; Various tools; Work tabard,OaA:85
Diplomat,Rival,Charm 2; Cool 1; Deception 1; Negotiation 2,Kill with Kindness 1,None,Comlink (handheld); Datapad; Robes,A-CRB:412; CotGAD:17
Doctor Lorren Morrick,Rival,Charm 3; Computers 2; Discipline 2; Education 3; Medicine 4,Bacta Specialist 2; Surgeon 2,None,Medpac; Synthskin,OaA:23
Doellinist High Priest,Nemesis,Charm 2; Discipline 2; Education 3; Lore 4; Leadership 3; Negotiation 3,Command 2; Inspiring Rhetoric; Kill with Kindness 2; Nobody's Fool 2,Invoke Doellin,500 credits; Comlink (handheld); Datapad; Priestly robes; Tayan staff,SoR:27
Domdees,Rival,Charm 3; Deception 3; Outer Rim 2; Underworld 3; Negotiation 3,Smooth Talker 1,Hoverer; Silhouette 0,Puffy Chef's Hat; Spatula; Utility Apron,LoNH:127
Dorrian Vodani,Rival,Computers 1; Coordination 2; Piloting [Space] 3,Fine Tuning 2,None,Blaster Pistol; Flight Suit,OaA:60*
Drall Constable,Minion,Melee; Perception; Ranged [Light]; Vigilance,None,None,Comlink (handheld); Drall Flashstick; Stun Grenade,SoF:136
Drall Police Sergeant,Rival,Discipline 2; Leadership 2; Melee 3; Perception 3; Ranged [Light] 3; Vigilance 3,Adversary 1,None,Comlink (handheld); Drall Flashstick; Stimpack; Stun Grenade,SoF:136
Drendan Binary Load Lifters,Rival,Athletics 2,None,Droid,Lifting Grapplers,GMK:10*
Droideka,Rival,Gunnery 2; Perception 3; Resilience 3,None,Droid; Fire Sweep; Shield Projector,None,CotG:69*
Duke Erron Irbian,Nemesis,Charm 2; Coercion 3; Cool 2; Deception 3; Discipline 2; Education 2; Core Worlds 3; Leadership 3; Ranged [Light] 2; Streetwise 1; Vigilance 2,Adversary 1; Plausible Deniability 2,Imperial Valor,Blaster Pistol,CotG:46
DUM-Series Pit Droid,Minion,Computers; Mechanics; Perception,Fine Tuning 2,Droid; Networking; Silhouette 0,Built-in comms suite,EV:45
Duros Ship Mechanic,Rival,Astrogation 1; Computers 1; Mechanics 3; Melee 1; Perception 2; Piloting [Space] 1,Fine Tuning 2; Gearhead 1,None,Emergency Repair Patch; Oversized Hydrospanner; Tool Kit,SoF:61
DZ-70 Fugitive Tracker Droid,Rival,Ranged [Light] 2; Stealth 2; Survival 3; Vigilance 2,Adversary 1; Expert Tracker 2,Droid,Blaster Pistol; Ionization blaster,FH:49
ED-V8-Series Envoy Droid,Rival,Education 2; Outer Rim 3; Negotiation 4; Perception 1,None,Droid; Non-humanoid Etiquette and Protocol,None,DoH:54
Elaiza,Nemesis,Charm 2; Coercion 3; Cool 3; Deception 3; Discipline 2; Lightsaber 4; Melee 2; Perception 4; Stealth 2; Streetwise 3; Vigilance 3,Adversary 2; Ataru Technique; Sense Danger; Force Rating 3; Sense Emotions,Force Power Influence; Force Power Move,Elaiza's Lightsaber,JoY:82*
Ellor Orgraal,Nemesis,Coercion 3; Computers 3; Warfare 3; Leadership 3; Ranged [Light] 1,Adversary 1,None,Blaster Pistol,OaA:82*
Emperor's Hand,Nemesis,Athletics 2; Brawl 2; Charm 3; Cool 3; Deception 3; Core Worlds 3; Melee 3; Perception 2; Ranged [Heavy] 2; Ranged [Light] 3; Stealth 3; Vigilance 4,Adversary 3; Intense Focus; Stalker 2; Uncanny Senses 2; Force Rating 2,None,Disruptor Pistol; Frag Grenade; Vibrosword,E-CRB:402; IaRAD:11
Eren Garai,Nemesis,Brawl 2; Charm 2; Coercion 2; Cool 2; Deception 2; Discipline 2; Education 1; Xenology 1; Perception 3; Ranged [Light] 2; Streetwise 2; Vigilance 2,Adversary 2,None,Breath Masks and Respirators; Cybernetic Brain Implant; Disruptor Pistol; Hand Scanner,F-CRB:428
EV-8D3,Nemesis,Coercion 3; Education 3; Xenology 3; Perception 1,Scathing Tirade [Improved]; Nobody's Fool 2,Droid; Droid Leader,Blaster Rifle,GMK:8*
Evocii,Minion,Coordination; Survival; Vigilance,None,None,Heavy Clothing; Scrap crossbow,LoNH:57
Evun; Alva; and Theel,Rival,Athletics 2; Negotiation 2; Perception 3; Ranged [Heavy] 2; Ranged [Light] 1; Survival 3,None,None,Adverse Environment Gear; Gaffi Stick; Slugthrower Pistol; Slugthrower Rifle; Utility Belt; Various tools,MPQ:61*
Expert Forger,Rival,Underworld 1; Perception 2; Streetwise 2; Vigilance 1,None,Critical Eye,Holdout Blaster; Percision Electronic Forging Tools,A-CRB:424
Fallen Apprentice,Rival,Coercion 2; Discipline 3; Lightsaber 3; Resilience 2; Stealth 2,Adversary 1; Force Rating 1; Soft Spot,Dark Side Force User,Basic Lightsaber; Black Robes,F-BGR:47; F-CRB:412
Fallen Master,Nemesis,Athletics 2; Coercion 3; Discipline 4; Lore 2; Leadership 2; Lightsaber 4; Resilience 3,Adversary 2; Force Rating 3; Hawk Bat Swoop; Reflect (Improved); Parry 5; Reflect 5,Dark Side Force User,Black Robes; Double-bladed mephite lightsaber,F-BGR:47; F-CRB:412
FD-Series Extinguisher Droid,Minion,Athletics,None,Droid; Fire Resistant; Firefighter,Fire suppression equipment,SoF:102
Fenn Sesslyn,Nemesis,Coercion 3; Cool 3; Discipline 3; Underworld 3; Warfare 3; Leadership 4; Perception 3; Ranged [Light] 3; Skullduggery 4; Streetwise 2; Vigilance 3,Adversary 2; Commanding Presence 3; Confidence 2; Field Commander [Improved]; Natural Leader; Scathing Tirade [Improved],None,Armored Imperial Uniform; Blaster Pistol,SoR:138
Fereallis Pirate Crewmate,Rival,Brawl 1; Cool 2; Gunnery 1; Ranged [Light] 3; Vigilance 1,None,None,Breath Masks and Respirators; Heavy Blaster Pistol; Padded Armor; Shock Gloves; Vibroknife,LoNH:123
First Mate Kog,Rival,Athletics 1; Coercion 2; Cool 3; Deception 2; Discipline 2; Warfare 3; Leadership 1; Piloting [Space] 2; Ranged [Light] 2; Skullduggery 3,Adversary 1,None,Datapad; Heavy Blaster Pistol,DitW:8
Fleet Officer,Rival,Astrogation 2; Computers 2; Discipline 3; Gunnery 2; Piloting [Space] 2; Ranged [Light] 1,None,None,Blaster Pistol; Comlink (handheld); Uniform,MPQ:84
Fondo; Tyss; ans Plaado,Minion,Brawl; Melee; Ranged [Light]; Vigilance,Quick Strike 1,None,Blaster Pistol; Combat Knife; Heavy Clothing,LoNH:136*
Forger,Rival,Computers 1; Underworld 2; Perception 2; Skullduggery 2; Vigilance 1,None,None,Holdout Blaster,E-CRB:393
Forsaken Jedi,Nemesis,Coercion 2; Cool 2; Deception 3; Lore 4; Lightsaber 4; Melee 2; Perception 4; Piloting [Space] 2; Streetwise 3; Vigilance 2,Adversary 2; Force Rating 3; Sense Danger; Sense Emotions; Uncanny Senses 2,None,Lightsaber,E-CRB:412
Frangawl Cultist,Rival,Coercion 2; Melee 2; Perception 1; Vigilance 2,None,None,None,NoP:47
FX-769,Rival,Discipline 1; Medicine 3; Melee 3; Perception 2,None,None,None,GMK:8*
G-100 Remote Banking Droid,Nemesis,Discipline 2,Nobody's Fool 3,Droid,Built-in network uplink,JoY:69
Gaff Kilvaari,Nemesis,Astrogation 1; Leadership 3; Mechanics 4; Perception 3; Piloting [Space] 2; Ranged [Heavy] 2; Ranged [Light] 2; Skullduggery 3; Stealth 3; Vigilance 3,Adversary 1; Master Grenadier; Powerful Blast 2; Selective Detonation 1; Skilled Jockey 1; Time to Go,None,Blaster Carbine; Comlink (handheld); Demolitions kit; Frag Grenade; Padded Armor,SoR:137
Gamorrean Thug,Rival,Brawl 3; Melee 3,Knockdown,None,Crude Gamorrean vibro-ax,E-CRB:413
Gand Findsman,Rival,Athletics 2; Coordination 2; Melee 2; Perception 3; Ranged [Heavy] 2; Survival 3; Vigilance 2,Adversary 1; Expert Tracker 2,Ammonia Breather,Scoped long-range blaster rifle; Vibroknife,F-CRB:403
Gank Hunter,Rival,Athletics 1; Coercion 2; Cool 1; Melee 1; Ranged [Heavy] 3; Stealth 1; Vigilance 2,Rapid Reaction 1,Cybernetic communications,Heavy Battle Armor; Heavy Blaster Rifle; Vibroknife,LoNH:57
Gantel Dro,Rival,Discipline 1; Melee 2; Perception 3; Ranged [Light] 3; Vigilance 2; Skullduggery 2; Stealth 3,None,Light Sensitive; Shadowed,Armored Guard Uniform; Heavy Blaster Pistol; Protective goggles with built-in infrared vision; Vibroknife,JoY:78
Gareth Agamar,Nemesis,Cool 3; Gunnery 3; Leadership 3; Perception 3; Piloting [Space] 4,Adversary 2; Command 2; Defensive Driving 2; Form on Me; Master Pilot; Quick Strike 2; Skilled Jockey 2,None,Flight Suit; Light Blaster Pistol; Sensory Augmentation Package,SoR:126
Garulo,Rival,Cool 3; Gunnery 3; Underworld 3; Streetwise 2,Natural Driver,Additional Limbs,Datapad,JoY:46*
Gel Marcolf,Nemesis,Coercion 2; Discipline 3; Leadership 1; Melee 3; Perception 2; Ranged [Light] 2,Adversary 1; Force Rating 2; Parry 3,Dark Side Force User; Force Power Battle Meditation,Armored Robes; Blaster Pistol; Comlink (handheld); Cortosis Sword; Kyber crystal amulet; Stun Grenade,CotG:38
General Elora Silssusio,Nemesis,Deception 3; Discipline 4; Gunnery 1; Warfare 2; Leadership 3; Negotiation 4; Ranged [Light] 3; Perception 3; Streetwise 4; Vigilance 2,Adversary 2; Command 2; Field Commander [Improved],None,Holdout Blaster; Light Blaster Pistol,SoR:81
General Ran Niall,Nemesis,Coercion 2; Cool 3; Discipline 3; Gunnery 3; Warfare 4; Leadership 3; Perception 3; Ranged [Heavy] 2; Vigilance 3,Adversary 2; Inspiring Rhetoric,Alliance Leader,Heavy Blaster Pistol; Heavy Trench Coat,OaA:19
Generic Remote,Minion,Perception,None,Droid; Silhouette 0,None,SM:53
Gerk,Rival,Brawl 3; Coercion 3; Ranged [Light] 3; Resilience 3; Vigilance 2,None,None,Armored Clothing; Brass Knuckles; Breath Masks and Respirators; Heavy Blaster Pistol,MPQ:62*
Gerrol Hunn,Rival,Charm 4; Cool 2; Piloting [Planetary] 3,Brilliant Evasion,None,Light Blaster Pistol,JoY:45*
Glare Peak Security Personnel,Minion,Coercion; Discipline; Ranged [Light]; Vigilance,Intimidating 1,None,Glare Peak guard badge; Glare Peak guard uniform; Light Blaster Pistol,RaGP:22
Godon Netakka,Rival,Athletics 1; Brawl 1; Perception 1; Piloting [Space] 1; Ranged [Light] 2; Streetwise 1; Vigilance 1,None,None,Disruptor Pistol; Reinforced Gauntlets,E-CRB:436*
Gormo Vosadii Grasso,Nemesis,Charm 2; Coercion 3; Cool 4; Deception 2; Discipline 4; Outer Rim 3; Underworld 3; Negotiation 4; Resilience 3,Resolve 2,Awkward; Ponderous,Comlink (handheld); Datapad,SoF:51
Gorn Vorrox,Rival,Deception 2; Negotiation 3; Perception 2; Ranged [Light] 2,None,None,Armored Clothing; Scattergun Blaster,SoF:124
Government Bureaucrat,Rival,Coercion 2; Computers 1; Discipline 2; Core Worlds 2; Education 2; Negotiation 3,Nobody's Fool 2,None,Datapad of Imperial regulations,F-CRB:406
Government Security Droid,Rival,Ranged [Light] 3; Vigilance 3,None,Droid,Built-in blaster pistol; Integrated Armor Plating,JoY:41
Graayl Nor,Nemesis,Deception 3; Underworld 2; Perception 2; Piloting [Space] 2; Ranged [Light] 3; Skullduggery 2; Streetwise 2,Adversary 1,None,Brass Knuckles; Heavy Blaster Pistol; Padded Armor,LoNH:140
Graayl's Thugs,Rival,Cool 1; Perception 2; Ranged [Light] 2; Survival 2; Vigilance 1,Quick Draw,None,Blaster Pistol; Padded Armor,LoNH:140
Graf Lind,Rival,Athletics 1; Brawl 2; Charm 3; Deception 3; Underworld 2; Melee 3; Ranged [Light] 2; Streetwise 3,Natural Brawler; Quick Draw,None,Heavy Clothing; Holdout Blaster; Prosthetic Replacement (Limb); Vibrorapier,MPQ:21*
Grenzo,Rival,Brawl 1; Coercion 1; Coordination 1; Deception 1; Perception 1; Piloting [Space] 1; Ranged [Heavy] 1; Ranged [Light] 2; Stealth 1; Streetwise 1; Survival 1; Vigilance 2,Lethal Blows 2,None,Heavy Blaster Pistol; Laminate Armor,SoF:120
Grinder,Rival,Computers 1; Mechanics 4; Melee 2; Piloting [Planetary] 3; Streetwise 2; Vigilance 2,None,None,Disgusting Racing Hides; Emergency Repair Patch; Holdout Blaster; Tool Kit; Vibroknife,SoF:131
Grizzled Trader,Rival,Deception 2; Knowledge 1; Negotiation 2; Streetwise 1,Black Market Contacts 1; Force Rating 1,Force-Sensitive Negotiation,Blaster Pistol,F-BGR:46
Guardian Police Droid,Rival,Athletics 2; Melee 1; Perception 3; Piloting [Planetary] 2; Ranged [Light] 2; Streetwise 1; Vigilance 2,Nobody's Fool 1,Droid,Baton; SS-410 Blaster Pistol,EV:46
Guilded Bounty Hunter,Rival,Cool 2; Melee 1; Ranged [Light] 2; Perception 2; Stealth 1; Streetwise 2; Survival 2,Expert Tracker 1; Quick Draw,None,Armored Clothing; Bola; Disruptor Pistol; Jet Pack; Stun Grenade; Utility Belt,A-CRB:424; F-BGR:46; F-CRB:404
Gustip,Rival,Cool 2; Core Worlds 3; Education 3; Underworld 3; Negotiation 2; Perception 1; Streetwise 2,Stroke of Genius,None,Aurodium Cane; Encrypted Datapad; Holdout Blaster; superior concealed armored clothing,SoF:48; SoF:140*
Gut-Guro,Minion,None,None,None,Padded Armor; Vibroknife,E-CRB:425*
GV/3-series Guardian Droid,Rival,Brawl 3; Perception 3; Ranged [Light] 2; Vigilance 2,None,Droid; Loyalty Imprint; Olfactory Sensor Suite,Retractable Blade Incisors; Retractable Light Blaster,KtP:49
Gyrowheel 1.42.08-Series Recycling Droid,Minion,Athletics; Coordination,None,Droid,Cleaning devices; Grabber claws,FH:50
Halari Takan,Rival,Charm 2; Coercion 3; Deception 2; Core Worlds 2; Underworld 2; Xenology 2; Leadership 3; Negotiation 3; Ranged [Light] 2; Streetwise 3,Adversary 1; Nobody's Fool 3; Plausible Deniability 2; Scathing Tirade,Amphibious; Ink Spray,Armored Clothing; Comlink (handheld); Holdout Blaster,SoR:133
Halina Patel,Nemesis,Computers 4; Cool 3; Deception 3; Education 2; Warfare 2; Underworld 3; Perception 3; Ranged [Light] 2; Skullduggery 3; Stealth 3; Vigilance 3,Adversary 2; Bypass Security 2; Codebreaker 3; Defensive Slicing 2; Technical Aptitude 3; Natural Programmer,None,Armored Clothing; BioTech borg construct Ax8; Holdout Blaster,SoR:142
Haril Zense,Rival,Athletics 3; Ranged [Light] 1; Skullduggery 3; Survival 2,Master of Shadows,None,Blast Vest; Blaster Pistol,OaA:79*
Hired Thug,Rival,Athletics 1; Coercion 2; Melee 2; Ranged [Light] 1; Survival 1,None,None,Beast-Hide Warrior's Armor; Frag Grenade; Vibro-ax,A-CRB:424; SaVAD:2
Hunters,Rival,Ranged [Heavy] 1,None,None,Heavy Fur Clothes; Slugthrower Rifle,F-BGA:14
Hutt Crime Lord,Nemesis,Athletics 1; Charm 2; Coercion 4; Cool 5; Deception 5; Discipline 5; Outer Rim 3; Underworld 3; Leadership 1; Melee 2; Negotiation 5; Ranged [Light] 2; Resilience 8,Convincing Demeanor 2; Durable 3; Nobody's Fool 3; Resolve 2,Awkward; Ponderous,Large-bore blaster pistol,A-CRB:424; E-BGR:46; E-CRB:406; SaVAD:20
Hutt Majordomo,Rival,Charm 2; Coercion 3; Cool 2; Deception 3; Discipline 2; Underworld 3; Leadership 2; Perception 2; Negotiation 2; Streetwise 3; Vigilance 2,Intimidating 2; Nobody's Fool 1; Plausible Deniability 1,None,Fine Clothing,LoNH:45
Hutt Slave Dealer,Nemesis,Charm 2; Coercion 3; Cool 4; Deception 4; Outer Rim 2; Underworld 4; Melee 3; Negotiation 5; Ranged [Light] 3; Resilience 8; Streetwise 5,Durable 3; Intimidating 3,Awkward; Ponderous,None,F-CRB:405
Huttlet,Minion,Brawl; Resilience,Durable 1,Awkward; Stinky,None,LoNH:46
IA Security Agent,Rival,Brawl 2; Discipline 2; Perception 2; Ranged [Light] 3; Survival 3; Vigilance 2,Adversary 1,None,Blaster Pistol; Comlink (handheld); Heavy Clothing; Shock Gloves; Stimpack,SoF:133
IG-100 Magnaguard,Nemesis,Athletics 3; Brawl 3; Coordination 4; Melee 3; Perception 3; Vigilance 3,Adversary 1; Parry 4; Pin,Droid,Built-in Armor Plating; Electrostaff,F-CRB:409
Illo Vandin,Nemesis,Brawl 2; Charm 4; Cool 4; Deception 4; Underworld 4; Negotiation 3; Ranged [Light] 2; Streetwise 4,Adversary 1; Nobody's Fool 2,None,Comlink (handheld); Fine Clothing; Heavy Blaster Pistol,MPQ:52*
Imperial Advisor,Nemesis,Charm 4; Coercion 4; Deception 4; Core Worlds 3; Education 2; Negotiation 3; Perception 4; Skullduggery 3; Vigilance 3,Natural Charmer; Nobody's Fool 2; Plausible Deniability 2,None,Extensive credentials; Lavishly adorned robes; Sundry Personal Staff,E-CRB:416; IaRAD:9
Imperial Army Officer,Rival,Discipline 3; Knowledge 2; Ranged [Light] 2; Vigilance 2,Adversary 1,Overwhelming Fire; Tactical Direction,Blaster Pistol; Comlink (long range); Officer Uniform,A-BGR:45; A-CRB:419; IaRAD:8
Imperial Army Trooper,Minion,Discipline; Ranged [Heavy]; Ranged [Light],None,None,Blaster Rifle; Frag Grenade; Trooper uniform and helmet,A-BGR:45; A-CRB:418; IaRAD:7
Imperial Assassin,Nemesis,Athletics 2; Cool 3; Coordination 3; Discipline 3; Melee 4; Perception 4; Piloting [Space] 2; Ranged [Heavy] 4; Stealth 4; Vigilance 4,Adversary 2; Parry 3; Indistinguishable 2,Neurotoxin Doses,Combat Vibroblade; Disruptor Rifle,F-CRB:406
Imperial Destab Agent,Rival,Deception 3; Discipline 3; Coercion 3; Core Worlds 2; Outer Rim 2,Scathing Tirade [Improved],Destabilizing Influence,Heavy Clothing; Holdout Blaster,A-CRB:417
Imperial Dungeoneer,Minion,Coercion; Melee; Ranged [Heavy]; Vigilance,None,None,Binders; Comlink (handheld); Padded Armor; Riot Gun; Truncheon,F-CRB:407
Imperial Gunnery Corps,Minion,Gunnery,None,Gun Crew,Heavy Repeating Blaster; Holdout Blaster; Trooper uniform and helmet,A-CRB:418
Imperial Intelligence Agent,Rival,Brawl 2; Charm 2; Coercion 2; Deception 2; Ranged [Light] 2; Streetwise 2; Vigilance 2,Adversary 1,None,Hand Scanner; Light Blaster Pistol,E-CRB:402; IaRAD:10
Imperial Moff,Nemesis,Charm 3; Coercion 4; Cool 3; Deception 4; Discipline 3; Core Worlds 4; Leadership 4; Ranged [Light] 2; Streetwise 2; Vigilance 2,Adversary 1; Plausible Deniability 4; Inspiring Rhetoric [Supreme],Imperial Valor,Blaster Pistol,A-BGR:46*; A-CRB:417; E-CRB:403; IaRAD:12
Imperial Naval Officer,Rival,Discipline 3; Ranged [Light] 2; Vigilance 2,Adversary 1,Tactical Direction,Blaster Pistol; Heavy Clothing,E-BGR:45; E-CRB:403
Imperial Naval Trooper,Minion,Perception; Ranged [Light],None,None,Blast vest and Helmet; Blaster Pistol,A-CRB:419; A-CRB:440*; E-CRB:403
Imperial Navy Pilot,Rival,Gunnery 2; Piloting [Space] 2; Vigilance 1,Full Throttle,None,Flight Suit,BtR:78
Imperial Royal Guard,Nemesis,Athletics 2; Discipline 3; Melee 4; Perception 3; Ranged [Light] 3; Vigilance 4,Adversary 2; Heightened Awareness; Parry 4,None,Cortosis-plated force pike; Heavy Battle Armor; Heavy Blaster Pistol,F-CRB:407
Imperial Sandtrooper Sergeant,Rival,Athletics 2; Discipline 2; Leadership 3; Melee 2; Ranged [Heavy] 2; Ranged [Light] 2; Resilience 2; Vigilance 2,Adversary 1,Tactical Direction,Extra Reload; Frag Grenade; Heavy Blaster Rifle; Stormtrooper Armor; Utility Belt; Vibroknife,OaA:40
Imperial Security Droid,Rival,Perception 2; Ranged [Light] 2; Vigilance 2,None,Droid; Hoverer,Built-in auto-blaster,RaGP:21
Imperial Stormtrooper,Minion,Athletics; Discipline; Melee; Ranged [Heavy],None,None,Blaster Rifle; Extra Reload; Frag Grenade; Stormtrooper Armor; Utility Belt; Vibroknife,RaGP:39; A-CRB:420; OaA:88; OaA:92; E-BGA:22*; E-CRB:404; F-BGR:45; F-CRB:407; IaRAD:1
"Imperial Stormtrooper ""Cavetroopers""",Minion,Athletics; Discipline; Melee; Ranged [Heavy]; Vigilance,None,None,Blaster Carbine; Low-light vision gear; Oversized Vibroknife; Scout Trooper Armor,HD:11
Imperial Stormtrooper Sergeant,Rival,Athletics 2; Discipline 2; Leadership 3; Melee 2; Ranged [Heavy] 2; Ranged [Light] 2; Resilience 2; Vigilance 2,Adversary 1,Tactical Direction,Extra Reload; Frag Grenade; Heavy Blaster Rifle; Stormtrooper Armor; Utility Belt; Vibroknife,A-BGR:46; A-CRB:420; E-BGR:45; E-CRB:404; F-BGR:45; F-CRB:408; IaRAD:2
Imperial Test Pilot,Rival,Cool 2; Gunnery 2; Perception 2; Piloting [Space] 2,Adversary 1; Natural Pilot; Skilled Jockey 1,None,Flight Suit; Light Blaster Pistol; Sensory Augmentation Package,SoR:127
Imperial Vehicle Corps,Rival,Gunnery 2; Piloting [Planetary] 2,None,None,Blaster Carbine; Trooper uniform and helmet,OaA:34
Imperial Vehicle Corps,Rival,Gunnery 2; Piloting [Planetary] 2,None,None,Blaster Carbine; Trooper uniform and helmet,A-CRB:419
Incom Engineer,Rival,Astrogation 1; Computers 1; Mechanics 2,Gearhead 1,None,Datapad with schematics; Holdout Blaster; Repair Tools,A-CRB:413
Infochant,Rival,Deception 2; Knowledge 2; Perception 2; Vigilance 1,None,None,Comlink (handheld); Datapad; Holdout Blaster,A-CRB:425; E-CRB:393; SaVAD:17
Intelligence Agent,Nemesis,Charm 2; Coercion 2; Deception 2; Ranged [Light] 2; Melee 2; Streetwise 2; Vigilance 2,None,None,Encrypted Datapad; Light Blaster Pistol; Secure Comlink,A-CRB:419
Interrogation Droid,Rival,Coercion 4; Medicine 3; Perception 2; Ranged [Light] 3,None,Droid; Hoverer; Silhouette 0,Built-in Acid Jet; Built-in Interrogation Drug Syringe; Built-in Sonic Torture Device,F-CRB:410
ISB (Imperial Security Bureau) Agent,Rival,Coercion 1; Deception 1; Discipline 1; Melee 1; Ranged [Light] 1; Streetwise 1; Vigilance 1,None,None,Comlink (handheld); TT24 Holdout Blaster,BtR:26
ISB Agent Ferlan,Rival,Coercion 1; Deception 1; Discipline 1; Melee 1; Ranged [Light] 1; Vigilance 1,None,None,Blaster Pistol; Comlink (handheld); ISB ID; ISB uniform,RaGP:29
ISB Supervisor Cal Alsen,Rival,Charm 1; Coercion 2; Deception 2; Ranged [Light] 2; Streetwise 1; Vigilance 2,None,None,Comlink (handheld); Hand Scanner; Heavy Trench Coat; TT24 Holdout Blaster,BtR:26
Isshtharr,Rival,Athletics 2; Brawl 2; Mechanics 2; Piloting [Space] 3; Ranged [Heavy] 3; Ranged [Light] 2,None,None,Blaster Rifle; Hide armor,OaA:63*
IT-3PO,Rival,Charm 2; Deception 1; Education 3; Xenology 3; Negotiation 2; Perception 1,Convincing Demeanor 2,Droid; Etiquette and Protocol,None,BtR:33
IT-O Interrogation Droid,Rival,Coercion 3; Cool 2; Discipline 2; Medicine 3; Melee 2; Perception 2,None,Droid,Hypodermic Injectors; Interrogation Tools; Laser scalpel,A-CRB:444
Ithorian Storyteller,Rival,Charm 3; Cool 1; Lore 3,None,None,Holdout Blaster,E-CRB:413
J-57 Cam Droid,Minion,Perception; Vigilance,None,Droid; Flyer,Holocam,SoF:102
Jalla,Rival,Charm 2; Coordination 1; Deception 1; Education 2; Perception 1; Ranged [Light] 1; Skullduggery 2; Stealth 2; Streetwise 2,Nobody's Fool 1,None,Holdout Blaster,SoF:120
Jayk; Rafe; and Tojo,Rival,Athletics 2; Discipline 2; Melee 2; Ranged [Heavy] 2; Survival 2; Vigilance 3,Adversary 1; Point Blank 1,Near-Sighted; Poor Memory; Teamwork; Tremor,Blaster Rifle; Utility Belt; Vibroknife; Worn Clone Trooper Armor,MPQ:30*
JC Series Pilot Droid,Rival,Cool 2; Piloting [Planetary] 2; Piloting [Space] 2; Ranged [Light] 1,Full Throttle,Droid,Light pop-up blaster,EtU:56
Jedi Temple Guardians,Nemesis,Discipline 2; Medicine 2; Melee 2; Lightsaber 2; Perception 2; Vigilance 2,Adversary 1; Force Rating 4; Parry 4; Reflect 4,Force Power Bind,Jedi Temple Guard Armor; Keys; Temple Guard Lightsaber Pike,NoP:72
Jedi-in-hiding,Nemesis,Athletics 1; Charm 2; Cool 2; Coordination 1; Deception 2; Discipline 4; Lore 3; Lightsaber 4; Perception 4; Piloting [Space] 2; Resilience 2; Vigilance 2,Adversary 2; Force Rating 3; Uncanny Senses 1; Uncanny Reactions 2,Force Power Enhance; Force Power Forsee; Force Power Move,Jedi Robes; Lightsaber,A-CRB:432
Jerid Sykes,Nemesis,Astrogation 3; Coercion 2; Cool 3; Discipline 3; Gunnery 3; Leadership 3; Piloting [Space] 3; Ranged [Light] 2; Survival 2,Intimidating 2; Natural Pilot,None,Crash Survival Kit; Disruptor Pistol; Officer's Uniform,MPQ:79*
Jostero Pirate,Minion,Gunnery; Piloting [Space]; Ranged [Light],None,None,Armored Flight Suit; Heavy Blaster Pistol,SoF:144
Journeyman Bounty Hunter,Rival,Brawl 1; Coercion 1; Coordination 1; Ranged [Heavy] 1; Ranged [Light] 1; Survival 2; Vigilance 1,Lethal Blows 1; Adversary 1,None,Disruptor Rifle; Heavy Blaster Pistol; Laminate Armor,A-BGR:46; E-BGR:46; E-CRB:400*; SaVAD:6
JR-12,Rival,Cool 3; Discipline 3; Mechanics 2; Negotiation 2; Perception 3; Ranged [Heavy] 2; Vigilance 3,Natural Hunter,Droid,Blaster Carbine; Utility Belt,MPQ:50*
Jyd Renyr,Rival,Charm 2; Coercion 3; Deception 2; Discipline 2; Leadership 1; Negotiation 2; Streetwise 2,None,None,Comlink (handheld); Datapad; Fine suit,MPQ:56*
K-9 Series Hunting Droid,Rival,Brawl 3; Perception 3; Stealth 3; Survival 3,Hunter 2,Droid,"Fabritech ""Hound"" Sensor Suite; Teeth and claws",EtU:54
K4 Security Droid,Rival,Melee 2; Ranged [Light] 3; Vigilance 2,None,Droid,armored plating; Built-in blaster pistol; Security Staff,JoY:90
K4-76A,Rival,Computers 3; Gunnery 3; Vigilance 2,True Aim 1,Droid,Built-in blaster pistol,JoY:47*
Kaltho the Hutt,Nemesis,Charm 2; Coercion 4; Cool 3; Deception 3; Discipline 3; Outer Rim 2; Underworld 5; Leadership 2; Negotiation 4; Resilience 5; Vigilance 3,Durable 3; Resolve 2,Awkward; Ponderous,None,JoY:59*
